,company,Title,cluster
5,世界,流動性困難英連鎖影院電影世界考慮在美聲請破產| 聯合新聞網 - udn.com,0
7,世界,流動性困難英連鎖影院電影世界考慮在美聲請破產| 聯合新聞網 - udn.com,0
8,世界,國際宗教信仰迫害受難者紀念日 民團談太極門案法稅貪腐 - 中時新聞網 Chinatimes.com,0
10,世界,流動性困難英連鎖影院電影世界考慮在美聲請破產| 聯合新聞網 - udn.com,0
11,世界,國際宗教信仰迫害受難者紀念日 民團談太極門案法稅貪腐 - 中時新聞網 Chinatimes.com,0
13,世界,流動性困難英連鎖影院電影世界考慮在美聲請破產| 聯合新聞網 - udn.com,0
14,世界,國際宗教信仰迫害受難者紀念日 民團談太極門案法稅貪腐 - 中時新聞網 Chinatimes.com,0
4,世界,乾旱加缺電 中國大陸米、鋁、鋰、銅、矽生產備受威脅 - udn.com,1
6,世界,乾旱加缺電 中國大陸米、鋁、鋰、銅、矽生產備受威脅 - udn.com,1
9,世界,乾旱加缺電 中國大陸米、鋁、鋰、銅、矽生產備受威脅 - udn.com,1
12,世界,乾旱加缺電 中國大陸米、鋁、鋰、銅、矽生產備受威脅 - udn.com,1
0,中華電,《美股掃瞄》內外夾擊 美股重挫、費半崩跌近4%(2-2) - 中時新聞網 Chinatimes.com,0
1,中華電,《美股掃瞄》內外夾擊 美股重挫、費半崩跌近4%(2-2) - 中時新聞網 Chinatimes.com,0
2,中華電,《美股掃瞄》內外夾擊 美股重挫、費半崩跌近4%(2-2) - 中時新聞網 Chinatimes.com,0
3,中華電,《美股掃瞄》內外夾擊 美股重挫、費半崩跌近4%(2-2) - 中時新聞網 Chinatimes.com,0
92,台塑,打擊不法廢棄物傾倒 雲林檢警調啟動「國土保育平台」 - udn.com,0
93,台塑,打擊不法廢棄物傾倒 雲林檢警調啟動「國土保育平台」 - udn.com,0
94,台塑,打擊不法廢棄物傾倒 雲林檢警調啟動「國土保育平台」 - udn.com,0
95,台灣大,林智堅中華大學學位遭撤銷 藍營參選人列綠營護航時序 - udn.com,0
96,台灣大,雙殺！林智堅中華大學論文也抄襲 碩士學位遭撤銷 - 中時新聞網 Chinatimes.com,0
98,台灣大,中華大學撤銷碩士學位！藍：林智堅被認證抄襲慣犯 蔡英文總統應道歉 - udn.com,0
99,台灣大,林智堅中華大學學位遭撤銷 藍營參選人列綠營護航時序 - udn.com,0
100,台灣大,雙殺！林智堅中華大學論文也抄襲 碩士學位遭撤銷 - 中時新聞網 Chinatimes.com,0
102,台灣大,中華大學撤銷碩士學位！藍：林智堅被認證抄襲慣犯 蔡英文總統應道歉 - udn.com,0
103,台灣大,林智堅中華大學學位遭撤銷 藍營參選人列綠營護航時序 - udn.com,0
104,台灣大,雙殺！林智堅中華大學論文也抄襲 碩士學位遭撤銷 - 中時新聞網 Chinatimes.com,0
106,台灣大,中華大學撤銷碩士學位！藍：林智堅被認證抄襲慣犯 蔡英文總統應道歉 - udn.com,0
97,台灣大,國際宗教信仰迫害受難者紀念日 民團談太極門案法稅貪腐 - 中時新聞網 Chinatimes.com,1
101,台灣大,國際宗教信仰迫害受難者紀念日 民團談太極門案法稅貪腐 - 中時新聞網 Chinatimes.com,1
105,台灣大,國際宗教信仰迫害受難者紀念日 民團談太極門案法稅貪腐 - 中時新聞網 Chinatimes.com,1
15,台積電,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,0
16,台積電,8/23【早晨財經速解讀】反彈結束?費半暴跌近4% 台積電跌2.2% 美元指數創新高美債殖利率升回3% 鮑爾即將釋放升息言論? | 聯合新聞網 - udn.com,0
17,台積電,經濟衰退隱憂 台積電下殺9元 台股暴跌逾170點 - 中時新聞網 Chinatimes.com,0
19,台積電,資金轉進「天國一輝」 台股早盤大跌逾130點 - 中時新聞網 Chinatimes.com,0
20,台積電,《美股掃瞄》內外夾擊 美股重挫、費半崩跌近4%(2-2) - 中時新聞網 Chinatimes.com,0
22,台積電,資金轉進「天國一輝」 台股早盤大跌逾130點 - 中時新聞網 Chinatimes.com,0
23,台積電,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,0
24,台積電,8/23【早晨財經速解讀】反彈結束?費半暴跌近4% 台積電跌2.2% 美元指數創新高美債殖利率升回3% 鮑爾即將釋放升息言論? | 聯合新聞網 - udn.com,0
25,台積電,《美股掃瞄》內外夾擊 美股重挫、費半崩跌近4%(2-2) - 中時新聞網 Chinatimes.com,0
27,台積電,資金轉進「天國一輝」 台股早盤大跌逾130點 - 中時新聞網 Chinatimes.com,0
28,台積電,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,0
29,台積電,8/23【早晨財經速解讀】反彈結束?費半暴跌近4% 台積電跌2.2% 美元指數創新高美債殖利率升回3% 鮑爾即將釋放升息言論? | 聯合新聞網 - udn.com,0
30,台積電,《美股掃瞄》內外夾擊 美股重挫、費半崩跌近4%(2-2) - 中時新聞網 Chinatimes.com,0
32,台積電,資金轉進「天國一輝」 台股早盤大跌逾130點 - 中時新聞網 Chinatimes.com,0
33,台積電,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,0
34,台積電,8/23【早晨財經速解讀】反彈結束?費半暴跌近4% 台積電跌2.2% 美元指數創新高美債殖利率升回3% 鮑爾即將釋放升息言論? | 聯合新聞網 - udn.com,0
35,台積電,《美股掃瞄》內外夾擊 美股重挫、費半崩跌近4%(2-2) - 中時新聞網 Chinatimes.com,0
18,台積電,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - 經濟日報,1
21,台積電,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,1
26,台積電,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,1
31,台積電,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,1
36,台積電,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,1
42,國泰金,經濟衰退隱憂 台積電下殺9元 台股暴跌逾170點 - 中時新聞網 Chinatimes.com,0
107,定穎,轉型控股公司 定穎投控25日上市、定穎電子下市 - udn.com,0
108,定穎,轉型控股公司 定穎投控25日上市 定穎電子下市 - 經濟日報,0
109,定穎,轉型控股公司 定穎投控25日上市、定穎電子下市 - udn.com,0
110,定穎,轉型控股公司 定穎投控25日上市 定穎電子下市 - 經濟日報,0
111,定穎,轉型控股公司 定穎投控25日上市、定穎電子下市 - udn.com,0
112,定穎,轉型控股公司 定穎投控25日上市 定穎電子下市 - 經濟日報,0
43,富邦金,經濟衰退隱憂 台積電下殺9元 台股暴跌逾170點 - 中時新聞網 Chinatimes.com,0
122,微星,女星開車往艾成追思會途中被搶劫 劍潭站前突遭開門勒脖奪皮包 - 中時新聞網 Chinatimes.com,0
123,微星,女星開車往艾成追思會途中被搶劫 劍潭站前突遭開門勒脖奪皮包 - 中時新聞網 Chinatimes.com,0
124,微星,女星開車往艾成追思會途中被搶劫 劍潭站前突遭開門勒脖奪皮包 - 中時新聞網 Chinatimes.com,0
44,惠特,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - 經濟日報,0
45,惠特,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,0
47,惠特,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,0
50,惠特,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,0
53,惠特,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,0
46,惠特,密謀綁架密西根州長2被告遭定罪可能判無期徒刑| 聯合新聞網 - udn.com,1
48,惠特,密謀綁架密西根州長 2被告遭定罪可能判無期徒刑 - 經濟日報,1
49,惠特,密謀綁架密西根州長2被告遭定罪可能判無期徒刑| 聯合新聞網 - udn.com,1
51,惠特,密謀綁架密西根州長 2被告遭定罪可能判無期徒刑 - 經濟日報,1
52,惠特,密謀綁架密西根州長2被告遭定罪可能判無期徒刑| 聯合新聞網 - udn.com,1
54,惠特,密謀綁架密西根州長 2被告遭定罪可能判無期徒刑 - 經濟日報,1
115,統一,日本議員訪台 陸外交部批「背信棄義、包藏禍心」 - udn.com,0
118,統一,日本議員訪台 陸外交部批「背信棄義、包藏禍心」 - udn.com,0
121,統一,日本議員訪台 陸外交部批「背信棄義、包藏禍心」 - udn.com,0
113,統一,地產大亨因言獲罪 任志強入獄照曝光 穿囚衣做木工 - udn.com,1
114,統一,因言獲罪被判18年「大陸前地產大亨」任志強入獄照首度曝光| 聯合新聞網 - udn.com,1
116,統一,地產大亨因言獲罪 任志強入獄照曝光 穿囚衣做木工 - udn.com,1
117,統一,因言獲罪被判18年「大陸前地產大亨」任志強入獄照首度曝光| 聯合新聞網 - udn.com,1
119,統一,地產大亨因言獲罪 任志強入獄照曝光 穿囚衣做木工 - udn.com,1
