id,name,Title,Keys,Time,Link,Media,Content,drilldown,stkno_,Check,y
中華電,中華電,《美股掃瞄》內外夾擊 美股重挫、費半崩跌近4%(2-2) - 中時新聞網 Chinatimes.com,['重挫'],2022/8/23,https://www.chinatimes.com/realtimenews/20220823001446-260410,中時新聞網 Chinatimes.com,"['', '★分析', '', 'Infrastructure Capital Management投資長Jay Hatfield表示，鮑爾將試圖展現強硬的鷹派立場，以抑制通膨預期並收緊金融環境。這很可能成為市場的負面催化劑。', '', 'Upholdings投資組合經理Robert Cantwell表示，當你看到市場現在像這樣下挫時，就是市場在說「如果聯準會想要讓通膨回落，就必須更加激進，讓經濟進一步放緩」。', '', '', '', '摩根大通全球策略師Marko Kolanovic仍然看好美國經濟和股市前景，他在周一出具的報告中指出，我們認為隨著這些扭曲的情形消退，通膨自會化解，並可能推動聯準會轉向。中國下半年的復甦增強，可望給全球經濟周期提供支持。再加上仍然非常低的投資部位，為周期型資產創造正面的環境。他表示，今年早些時候投資人大舉拋售，是股市從這裡起漲的關鍵之一。', '', '高盛表示，投資人預期聯準會的激進升息立場將轉向，可能是近來美股反彈的原因，但這一波反彈也像是熊市反彈。高盛美股策略部門主管David Kostin在報告中指出，熊市反彈和聯準會結束升息周期的股市表現相似，最終通膨和經濟增長的路徑將決定市場到年底的走勢。他並認為未來上行和下行的風險皆有限，包括對經濟衰退的擔憂在內。', '', '★類股', '', '標普500指數11大類股全面收黑，非必需消費類股跌2.84%，跌幅最大，其次為科技股跌2.78%、通訊服務類股跌2.67%。能源股跌0.25%，跌幅最小。', '', '由中概股組成的金龍中國指數逆勢上漲1.22%。', '', '★重磅股', '', '重量級科技股全跌，蘋果跌2.30%，微軟跌2.94%，亞馬遜跌3.62%，Alphabet跌2.53%，特斯拉跌2.28%，Meta跌2.92%，網飛跌6.06%。', '', '在道瓊指數成份股方面，寶僑（Procter&Gamble）跌0.27%，跌幅最小，其次為嬌生跌0.35%。英特爾跌4.35%，表現最疲弱，其次為Salesforce.com跌3.69%。', '', '主要晶片股全跌，輝達、英特爾、恩智浦、高通跌幅都超過4%，應用材料、美光、超微跌逾3%，德州儀器跌2.84%。', '', '★焦點股', '', '「迷因股」之一、連鎖電影院公司AMC收跌5.51%，盤中一度崩跌42%。投資人評估該公司發行新的特別股類別，以及其競爭對手Cineworld考慮聲請破產這兩大消息的影響。', '', '「迷因股」Bed Bath & Beyond重挫逾16%，該公司大股東Ryan Cohen出清持股，以及有關某些供應商收不到款項已暫停供貨的報導，使投資人信心潰堤。受此拖累，另一檔迷因股GameStop亦下挫5.45%。', '', 'Signify Health飆漲32.08%，《華爾街日報》和彭博社報導亞馬遜是競購該健康照護科技公司的潛在買家之一，其他競標者還包括聯合健康集團（UnitedHealth Group Inc）、CVS Health Corp和Option Care Health Inc。亞馬遜收跌3.62%。', '', '福特下跌5.04%，美聯社報導，喬治亞州法院陪審團就數年前一起導致夫妻雙亡的皮卡車禍事故，裁定福特汽車必須支付17億美元天價賠償金。此外，福特宣布將在美國和加拿大裁員約3,000人。\u3000★台股ADR', '', '台股ADR僅中華電信獨漲，半導體股表現疲弱。', '', '台積電ADR跌2.25%，收85.24美元，換算台股價格為513.06元。', '', '聯電ADR跌3.74%，收6.70美元，換算台股價格為40.33元。', '', '日月光ADR跌3.46%，收5.86美元，換算台股價格為88.18元。', '', '中華電信ADR漲0.52%，收40.67美元，換算台股價格為122.4元。', '', '']",中華電,2412,Y,230422500
世界,世界,乾旱加缺電 中國大陸米、鋁、鋰、銅、矽生產備受威脅 - udn.com,['威脅'],2022/8/22,https://udn.com/news/story/7333/6555662,udn.com,"['乾旱與缺電正橫掃中國大陸華中及華南地區，使糧食、鋁錠及電池材料等物資供應備受威脅。', '\n', '\r\n彭博資訊報導，四川遭遇60多年來最熾烈的熱浪，水力發電備載能量已被掏空，使工業限電範圍擴大。高盛集團指出，長江流域其他地區也正在與高溫作戰；如果酷暑期拉長，稻米收穫量將面臨重大風險。', '\n', '\r\n長江流域四川省、重慶市、湖北、湖南、江西與安徽等6大稻米產區旱象嚴峻，而這些地區的稻米產量占去年大陸總產量近一半。農業農村部表示，7月以來氣溫超高，降雨奇少，已對秋造成重大挑戰。', '\n', '\r\n該部已經要求各地方政府擴大資金與資源投入，以對抗旱災，並適當分配抗旱設備與種子。據央視報導，河南省有1,500萬畝田地的作物已經受到乾旱影響。', '\n', '\r\n電力短缺，也使四川省電動車用鋰鐵電池的生產陷入困境。世界級電池廠商寧德時代新能源科技公司的第二大生產基地就在四川，當地的電池廠已經停產。高盛指出，缺電可能使大陸鋰化物月產量減少5%，對電池用磷酸鐵鋰（LFP）正極材料的潛在衝擊更大；一旦產量恢復正常，電動車業將獲得優先供應。', '\n', '\r\n去年就曾因為四川生產受到干擾，使碳酸鋰價格大漲；上周末碳酸鋰價漲到4月來高點，距離再創新高已經不遠。', '\n', '\r\n太陽能板生產也備受衝擊。大陸約15%的多晶矽產自四川，價格原本就因為全球需求強勁而上揚；現在四川擴大限電，使多晶矽減產，將進一步支持多晶矽及鋰材價格。', '\n', '\r\n全球首要太陽能模組製造業者大陸晶科能源公司表示，該公司在四川的兩座工廠都受到限電影響，也不清楚何時才能恢復正常。保利協鑫能源與通威兩家公司的多晶矽廠，也面臨停產壓力。', '\n', '\r\n至於高耗電的煉鋁業，據高盛估計，約有年產36萬公噸的煉鋁產能已經停工，另外30萬噸產能也面臨停產風險，合計約占大陸總產能的1.5%。四川雖是煉鋁重鎮，但產能遠遠落後於山東及新疆，而另一主要產地雲南也迄未受到影響，因此煉鋁業受到的衝擊還算溫和。', '\n', '\r\n至於煉銅業，大陸最大產銅省份安徽也因為限電，使銅錠減產。', '\n', '\r\n另外四川由於電力短缺，使產業界轉用柴油發電，發電機已經銷售一空，柴油需求也激增約6%。']",世界,5347,Y,308226800
世界,世界,流動性困難英連鎖影院電影世界考慮在美聲請破產| 聯合新聞網 - udn.com,['破產'],2022/8/22,https://udn.com/news/story/6811/6555833,udn.com,"['', '\r\n英國連鎖電影院業者電影世界（Cineworld）今天表示，它正在考慮幾個財務選項，包括可能在美國聲請破產保護。這家全球第2大連鎖電影院營運商正遭遇短期流動性困境。', '\r\n路透社報導，在倫敦股市掛牌的電影世界19日股價重挫至歷史新低，因為美國「華爾街日報」報導，這家電影院業巨擘正準備在美國和英國聲請破產。', '\r\n電影世界17日表示，它正在考慮幾個選項來取得流動性，或是可能透過一筆去槓桿化交易來重組負債累累的資產負債表。但後者會造成電影世界的股東權益受到非常嚴重稀釋。', '\r\n電影世界今天透過聲明表示，它「預期維持正常狀態營運，直到任何聲請提出及提出後」。', '\r\n總部位於英格蘭不倫特福（Brentford）的電影世界，1995年由魏納（Steve Wiener）創立。它透露正與包括貸款銀行在內的許多主要股東及法律和財務顧問討論相關事宜。', '\r\n電影世界還說，目前全球同名電影院和Regal連鎖電影院都維持正常營運。']",世界,5347,Y,308226800
台積電,台積電,美股暴跌拖累 台積電下殺8元 台股挫低逾140點 - 中時新聞網 Chinatimes.com,['暴跌'],2022/8/23,https://www.chinatimes.com/amp/realtimenews/20220823001214-260410,中時新聞網 Chinatimes.com,"['台股今（22日）以15225.17點開出，下跌19點，隨後跌幅擴大至超過140點，權值股台積電跌8元，觸及502元，聯發科跌5元，觸及667元，航運三雄長榮、萬海及陽明上漲近1%撐盤。\r', ' ', '即使美國消費者物價指數（CPI）已經在7月下滑，顯示通膨已經觸頂，市場仍擔憂聯準會激烈升息，周一美股四大指數收黑，道瓊重挫643.13點（或1.91%）至33063.61點，那斯達克指數下跌323.64點（或2.55%）至12381.57點，標普500點暴跌90.49點（或2.14%）至4137.99點，費城半導體指數挫低109.97點（或3.72%）至2843.37點。\r', ' ', '台股昨（22日）下跌163.64點，收在15245.14點，成交值1994.23億。三大法人外資及陸資賣超、投信買超、自營商賣超，合計賣超149.96億。自營商賣超6.9億，投信買超8.03億，外資及陸資賣超151.09億。\r', '']",台積電,2330,Y,6516720000
台積電,台積電,8/23【早晨財經速解讀】反彈結束?費半暴跌近4% 台積電跌2.2% 美元指數創新高美債殖利率升回3% 鮑爾即將釋放升息言論? | 聯合新聞網 - udn.com,"['暴跌', '釋放']",2022/8/23,https://udn.com/news/story/7251/6556764,udn.com,"['', '\n', '\n', '\n', '\r\n美國股市周一大跌，投資人對本周在懷俄明州傑克森洞舉行的聯準會（Fed）研討會感到緊張，預料Fed將強調對遏制通膨的堅定承諾。', '\n', '\r\n標普500指數大跌2.1％，收報4,137.99點，創下6月16日以來最大單日跌幅；那斯達克綜合指數重挫2.6％，收報12,381.57點。道瓊工業指數643.13點，跌幅1.9％，收報33,063.61點。費城半導體指數大跌3.7％，台積電ADR也受拖累下跌2.3％。', '\n', '\r\nFed官員已警告抗通膨之戰遠未結束，衰退的威脅仍在持續，這種立場可能會在周五Fed主席鮑爾本周講話時得到加強。Fed主席向來利用這一場合發布重要政策聲明。', '\n', '\r\nOanda高級市場分析師Ed Moya寫道，「鮑爾可能會試圖發出一個明確的訊息：即使升息步伐放緩，那也不表示利率頂點會降低或者他們會很快降息」。「本周過後，如果聯邦基金利率期貨開始消化明年的升息，華爾街應該不會感到驚訝。這可能是許多人休假歸來加倍押注熊市反彈的一周。」', '\n', '\n']",台積電,2330,Y,6516720000
台積電,台積電,經濟衰退隱憂 台積電下殺9元 台股暴跌逾170點 - 中時新聞網 Chinatimes.com,['暴跌'],2022/8/22,https://www.chinatimes.com/realtimenews/20220822000947-260410?ctrack=pc_main_recmd_p16,中時新聞網 Chinatimes.com,"['經濟衰退雜音仍存在，上周五美股收黑，台股今（22日）以15375.20點開出，下跌30點，隨後跌幅擴大至超過170點，權值股台積電挫低9元，觸及510元，聯發科暴跌17元，觸及676元，航運三雄長榮、萬海及陽明暴跌超過2%，金融股龍頭富邦金與國泰金也出現1%左右的跌幅。', '', '', '', '台股上周五（19日）上漲12.02點，收在15408.78點，成交值2186.84億。三大法人外資及陸資賣超、投信買超、自營商買超，合計賣超48.01億。自營商買超9.56億，投信買超15.48億，外資及陸資賣超73.05億。', '', '', '', '美股四大指數皆墨，道瓊下跌292.26點（或0.86%）至33706.74點，那斯達克指數暴跌260.08點（或2.01%）至12705.21點，標普500指數挫低55.26點（或1.29%）至4228.48點，費城半導體大跌84.50點（或2.78%）至2953.34點。', '', '']",台積電,2330,Y,6516720000
台積電,台積電,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - 經濟日報,['慘跌'],NA,https://money.udn.com/money/story/5607/6557130,經濟日報,"['美股四大指數盡墨，科技股成為殺盤重心，造成台股今（23）日開低走低，科技權值股壓盤，加權指數盤中失守季線、回測月線，更一度跌至15,100點之下，盤面上，電動車概念股可望受惠特斯拉搶購效應，今日強勢表態，櫃買市場則有生技族群續強。', '\n', '\r\n台新投顧副總經理黃文清表示，台股目前進入消化前波漲幅的整理盤，預期致年底前仍有機會持續反彈，本波下跌可能在央行年會之後才有機會止跌，建議投資人，持續觀察重量級指標股，如有明顯轉強的訊號，則逢低進場時機顯現。', '\n', '\r\n在選股方面，黃文清建議，可選擇具有長線成長趨勢的產業，如：電動車、半導體設備與材料、綠能產業，非電股部分則可留意汽車零組件、與受惠升息的金融族群，尤其金融族群已經跌深，投資價值浮現，建議投資人可尋找機會長線布局。', '\n', '\r\n台積電（2330）（2330）今日盤中跌幅落在1%左右，股價在502～506元之間起伏，目前僅守住季線；聯電（2303）（2303）盤中表現尤為疲弱，失守所有均線，跌幅也達2%以上；惟聯發科（2454）（2454）表現相對有撐，盤中在平盤線來回整理。', '\n', '\r\n車用電子族群中，昇銳（3128）（3128）盤中亮燈漲停；同致（3552）（3552）、環天科（3499）（3499）盤中漲幅別達5%和4%，同志更一口氣站上年線；貿聯-KY（3665）（3665），為升，順達（3211）（3211）等股，盤中也維持在平盤以上。', '\n', '\r\n櫃買市場中，生技族群的中天（4128）（4128），合一（4743）（4743）續旺，今日盤中再度亮燈漲停，股價雙雙創下近三個月高點，也一同跳空站上所有均線，中天股價達67.2元，合一達220.5元，此外，台生材（6649）（6649），威健生技（6661）（6661）也拉上漲停板，台微醫（6767）（6767）以9%漲幅緊追在後，杏國（4192）（4192），醣聯（4168）（4168），泰博（4736）（4736）等股盤中漲幅也超過1%。']",台積電,2330,Y,6516720000
台積電,台積電,資金轉進「天國一輝」 台股早盤大跌逾130點 - 中時新聞網 Chinatimes.com,['大跌'],2022/8/23,https://www.chinatimes.com/realtimenews/20220823001715-260410?ctrack=pc_main_rtime_p04,中時新聞網 Chinatimes.com,"['', '台股加權指數23日開低在15,225.17點，權王台積電（2330）開在503元，較22日跌7元，大型權值股走弱，資金轉進生技股「天國一輝」，中天（4128）、合一（4743）一開盤即急拉到漲停板價，帶動生技族群股價遍地開花，此外，買單亦拉抬面板、鋰電池、網通等個股，台股早盤指數跌幅擴大，下跌逾130點。', '', '投資人對本周稍晚的懷俄明州傑克森洞央行年會感到不安、憂心聯準會主席鮑爾屆時恐重申要積極升息對抗通膨，並懷疑先前聯準會有望轉趨鴿派的市場看法過度樂觀，美國四大指數22日全面下殺，由對利率敏感的高科技類股領軍走跌。', '', '道瓊工業平均指數8月22日終場下跌1.91％（643.13點）、收33,063.61點，創8月9日以來收盤新低。那斯達克指數下跌2.55％（323.64點）、收12,381.57點。', '', '費城半導體指數下跌3.72％（109.97點）、收2,843.37點。', '', '大型本土投顧指出，台股本波自低檔13,928點反攻到8月17日的15,475點，總計上漲1,547點，離歷史高點18,619點，反彈幅度32.98％，剛好接近三分之一的位置，原則上屬於弱勢反彈。', '', '就均線角度而言，指數已經順利站上季線，惟季線還在下彎當中，對大盤有拉引作用，使得指數開始進展不易，預期現階段大盤將以箱型區間來回整理，操作應該避免追高殺低。', '', '由於大盤成交值並無放大現象，再加上未來景氣充滿疑慮，大型股乏人問津，盤面上漸由中小型股領軍匯集人氣，因此難免投機味濃。尤其軋空題材比較屬於各自發揮，造成股價強弱分明，進出此話題股時，必須要有風險意識。']",台積電,2330,Y,6516720000
台積電,台積電,《美股掃瞄》內外夾擊 美股重挫、費半崩跌近4%(2-2) - 中時新聞網 Chinatimes.com,['重挫'],2022/8/23,https://www.chinatimes.com/realtimenews/20220823001446-260410,中時新聞網 Chinatimes.com,"['', '★分析', '', 'Infrastructure Capital Management投資長Jay Hatfield表示，鮑爾將試圖展現強硬的鷹派立場，以抑制通膨預期並收緊金融環境。這很可能成為市場的負面催化劑。', '', 'Upholdings投資組合經理Robert Cantwell表示，當你看到市場現在像這樣下挫時，就是市場在說「如果聯準會想要讓通膨回落，就必須更加激進，讓經濟進一步放緩」。', '', '', '', '摩根大通全球策略師Marko Kolanovic仍然看好美國經濟和股市前景，他在周一出具的報告中指出，我們認為隨著這些扭曲的情形消退，通膨自會化解，並可能推動聯準會轉向。中國下半年的復甦增強，可望給全球經濟周期提供支持。再加上仍然非常低的投資部位，為周期型資產創造正面的環境。他表示，今年早些時候投資人大舉拋售，是股市從這裡起漲的關鍵之一。', '', '高盛表示，投資人預期聯準會的激進升息立場將轉向，可能是近來美股反彈的原因，但這一波反彈也像是熊市反彈。高盛美股策略部門主管David Kostin在報告中指出，熊市反彈和聯準會結束升息周期的股市表現相似，最終通膨和經濟增長的路徑將決定市場到年底的走勢。他並認為未來上行和下行的風險皆有限，包括對經濟衰退的擔憂在內。', '', '★類股', '', '標普500指數11大類股全面收黑，非必需消費類股跌2.84%，跌幅最大，其次為科技股跌2.78%、通訊服務類股跌2.67%。能源股跌0.25%，跌幅最小。', '', '由中概股組成的金龍中國指數逆勢上漲1.22%。', '', '★重磅股', '', '重量級科技股全跌，蘋果跌2.30%，微軟跌2.94%，亞馬遜跌3.62%，Alphabet跌2.53%，特斯拉跌2.28%，Meta跌2.92%，網飛跌6.06%。', '', '在道瓊指數成份股方面，寶僑（Procter&Gamble）跌0.27%，跌幅最小，其次為嬌生跌0.35%。英特爾跌4.35%，表現最疲弱，其次為Salesforce.com跌3.69%。', '', '主要晶片股全跌，輝達、英特爾、恩智浦、高通跌幅都超過4%，應用材料、美光、超微跌逾3%，德州儀器跌2.84%。', '', '★焦點股', '', '「迷因股」之一、連鎖電影院公司AMC收跌5.51%，盤中一度崩跌42%。投資人評估該公司發行新的特別股類別，以及其競爭對手Cineworld考慮聲請破產這兩大消息的影響。', '', '「迷因股」Bed Bath & Beyond重挫逾16%，該公司大股東Ryan Cohen出清持股，以及有關某些供應商收不到款項已暫停供貨的報導，使投資人信心潰堤。受此拖累，另一檔迷因股GameStop亦下挫5.45%。', '', 'Signify Health飆漲32.08%，《華爾街日報》和彭博社報導亞馬遜是競購該健康照護科技公司的潛在買家之一，其他競標者還包括聯合健康集團（UnitedHealth Group Inc）、CVS Health Corp和Option Care Health Inc。亞馬遜收跌3.62%。', '', '福特下跌5.04%，美聯社報導，喬治亞州法院陪審團就數年前一起導致夫妻雙亡的皮卡車禍事故，裁定福特汽車必須支付17億美元天價賠償金。此外，福特宣布將在美國和加拿大裁員約3,000人。\u3000★台股ADR', '', '台股ADR僅中華電信獨漲，半導體股表現疲弱。', '', '台積電ADR跌2.25%，收85.24美元，換算台股價格為513.06元。', '', '聯電ADR跌3.74%，收6.70美元，換算台股價格為40.33元。', '', '日月光ADR跌3.46%，收5.86美元，換算台股價格為88.18元。', '', '中華電信ADR漲0.52%，收40.67美元，換算台股價格為122.4元。', '', '']",台積電,2330,Y,6516720000
台積電,台積電,美股慘跌台股回測月線 電動車概念股亮眼、生技股續旺 - udn.com,['慘跌'],2022/8/23,https://udn.com/news/story/7251/6557130,udn.com,"['美股四大指數盡墨，科技股成為殺盤重心，造成台股今（23）日開低走低，科技權值股壓盤，加權指數盤中失守季線、回測月線，更一度跌至15,100點之下，盤面上，電動車概念股可望受惠特斯拉搶購效應，今日強勢表態，櫃買市場則有生技族群續強。', '\n', '\r\n台新投顧副總經理黃文清表示，台股目前進入消化前波漲幅的整理盤，預期致年底前仍有機會持續反彈，本波下跌可能在央行年會之後才有機會止跌，建議投資人，持續觀察重量級指標股，如有明顯轉強的訊號，則逢低進場時機顯現。', '\n', '\r\n在選股方面，黃文清建議，可選擇具有長線成長趨勢的產業，如：電動車、半導體設備與材料、綠能產業，非電股部分則可留意汽車零組件、與受惠升息的金融族群，尤其金融族群已經跌深，投資價值浮現，建議投資人可尋找機會長線布局。', '\n', '\r\n台積電（2330）今日盤中跌幅落在1%左右，股價在502～506元之間起伏，目前僅守住季線；聯電（2303）盤中表現尤為疲弱，失守所有均線，跌幅也達2%以上；惟聯發科（2454）表現相對有撐，盤中在平盤線來回整理。', '\n', '\r\n車用電子族群中，昇銳（3128）盤中亮燈漲停；同致（3552）、環天科（3499）盤中漲幅別達5%和4%，同志更一口氣站上年線；貿聯-KY（3665），為升，順達（3211）等股，盤中也維持在平盤以上。', '\n', '\r\n櫃買市場中，生技族群的中天（4128），合一（4743）續旺，今日盤中再度亮燈漲停，股價雙雙創下近三個月高點，也一同跳空站上所有均線，中天股價達67.2元，合一達220.5元，此外，台生材（6649），威健生技（6661）也拉上漲停板，台微醫（6767）以9%漲幅緊追在後，杏國（4192），醣聯（4168），泰博（4736）等股盤中漲幅也超過1%。']",台積電,2330,Y,6516720000
